Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;2t3p;ibm_brisbane;3;2;0;'000;0;32;32
1;2t3p;ibm_brisbane;3;2;1;'001;1686;1563;124
1;2t3p;ibm_brisbane;3;2;2;'010;0;38;38
1;2t3p;ibm_brisbane;3;2;3;'011;0;16;16
1;2t3p;ibm_brisbane;3;2;4;'100;0;14;14
1;2t3p;ibm_brisbane;3;2;5;'101;0;27;27
1;2t3p;ibm_brisbane;3;2;6;'110;1686;1634;52
1;2t3p;ibm_brisbane;3;2;7;'111;0;49;49
2;2t3p;ibm_brisbane;3;2;0;'000;0;37;37
2;2t3p;ibm_brisbane;3;2;1;'001;1686;1567;120
2;2t3p;ibm_brisbane;3;2;2;'010;0;34;34
2;2t3p;ibm_brisbane;3;2;3;'011;0;10;10
2;2t3p;ibm_brisbane;3;2;4;'100;0;17;17
2;2t3p;ibm_brisbane;3;2;5;'101;0;30;30
2;2t3p;ibm_brisbane;3;2;6;'110;1686;1622;64
2;2t3p;ibm_brisbane;3;2;7;'111;0;56;56
3;2t3p;ibm_brisbane;3;2;0;'000;0;54;54
3;2t3p;ibm_brisbane;3;2;1;'001;1686;1558;128
3;2t3p;ibm_brisbane;3;2;2;'010;0;36;36
3;2t3p;ibm_brisbane;3;2;3;'011;0;12;12
3;2t3p;ibm_brisbane;3;2;4;'100;0;16;16
3;2t3p;ibm_brisbane;3;2;5;'101;0;19;19
3;2t3p;ibm_brisbane;3;2;6;'110;1686;1633;54
3;2t3p;ibm_brisbane;3;2;7;'111;0;45;45
4;2t3p;ibm_brisbane;3;2;0;'000;0;30;30
4;2t3p;ibm_brisbane;3;2;1;'001;1686;1542;144
4;2t3p;ibm_brisbane;3;2;2;'010;0;42;42
4;2t3p;ibm_brisbane;3;2;3;'011;0;10;10
4;2t3p;ibm_brisbane;3;2;4;'100;0;12;12
4;2t3p;ibm_brisbane;3;2;5;'101;0;14;14
4;2t3p;ibm_brisbane;3;2;6;'110;1686;1669;18
4;2t3p;ibm_brisbane;3;2;7;'111;0;54;54
5;2t3p;ibm_brisbane;3;2;0;'000;0;36;36
5;2t3p;ibm_brisbane;3;2;1;'001;1686;1540;146
5;2t3p;ibm_brisbane;3;2;2;'010;0;28;28
5;2t3p;ibm_brisbane;3;2;3;'011;0;26;26
5;2t3p;ibm_brisbane;3;2;4;'100;0;15;15
5;2t3p;ibm_brisbane;3;2;5;'101;0;23;23
5;2t3p;ibm_brisbane;3;2;6;'110;1686;1654;32
5;2t3p;ibm_brisbane;3;2;7;'111;0;51;51
6;2t3p;ibm_brisbane;3;2;0;'000;0;40;40
6;2t3p;ibm_brisbane;3;2;1;'001;1686;1550;136
6;2t3p;ibm_brisbane;3;2;2;'010;0;30;30
6;2t3p;ibm_brisbane;3;2;3;'011;0;20;20
6;2t3p;ibm_brisbane;3;2;4;'100;0;10;10
6;2t3p;ibm_brisbane;3;2;5;'101;0;15;15
6;2t3p;ibm_brisbane;3;2;6;'110;1686;1669;18
6;2t3p;ibm_brisbane;3;2;7;'111;0;39;39
7;2t3p;ibm_brisbane;3;2;0;'000;0;35;35
7;2t3p;ibm_brisbane;3;2;1;'001;1686;1587;100
7;2t3p;ibm_brisbane;3;2;2;'010;0;40;40
7;2t3p;ibm_brisbane;3;2;3;'011;0;19;19
7;2t3p;ibm_brisbane;3;2;4;'100;0;15;15
7;2t3p;ibm_brisbane;3;2;5;'101;0;26;26
7;2t3p;ibm_brisbane;3;2;6;'110;1686;1614;72
7;2t3p;ibm_brisbane;3;2;7;'111;0;37;37
8;2t3p;ibm_brisbane;3;2;0;'000;0;35;35
8;2t3p;ibm_brisbane;3;2;1;'001;1686;1514;172
8;2t3p;ibm_brisbane;3;2;2;'010;0;27;27
8;2t3p;ibm_brisbane;3;2;3;'011;0;15;15
8;2t3p;ibm_brisbane;3;2;4;'100;0;14;14
8;2t3p;ibm_brisbane;3;2;5;'101;0;24;24
8;2t3p;ibm_brisbane;3;2;6;'110;1686;1696;10
8;2t3p;ibm_brisbane;3;2;7;'111;0;48;48
9;2t3p;ibm_brisbane;3;2;0;'000;0;46;46
9;2t3p;ibm_brisbane;3;2;1;'001;1686;1581;106
9;2t3p;ibm_brisbane;3;2;2;'010;0;39;39
9;2t3p;ibm_brisbane;3;2;3;'011;0;17;17
9;2t3p;ibm_brisbane;3;2;4;'100;0;13;13
9;2t3p;ibm_brisbane;3;2;5;'101;0;20;20
9;2t3p;ibm_brisbane;3;2;6;'110;1686;1626;60
9;2t3p;ibm_brisbane;3;2;7;'111;0;31;31
10;2t3p;ibm_brisbane;3;2;0;'000;0;35;35
10;2t3p;ibm_brisbane;3;2;1;'001;1686;1576;110
10;2t3p;ibm_brisbane;3;2;2;'010;0;31;31
10;2t3p;ibm_brisbane;3;2;3;'011;0;21;21
10;2t3p;ibm_brisbane;3;2;4;'100;0;12;12
10;2t3p;ibm_brisbane;3;2;5;'101;0;24;24
10;2t3p;ibm_brisbane;3;2;6;'110;1686;1622;64
10;2t3p;ibm_brisbane;3;2;7;'111;0;52;52
