Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Greenoble_4num_5Q;ibm_brisbane;5;4;0;'00000;256;31;225
1;Greenoble_4num_5Q;ibm_brisbane;5;4;1;'00001;0;39;39
1;Greenoble_4num_5Q;ibm_brisbane;5;4;2;'00010;0;32;32
1;Greenoble_4num_5Q;ibm_brisbane;5;4;3;'00011;0;30;30
1;Greenoble_4num_5Q;ibm_brisbane;5;4;4;'00100;0;30;30
1;Greenoble_4num_5Q;ibm_brisbane;5;4;5;'00101;0;34;34
1;Greenoble_4num_5Q;ibm_brisbane;5;4;6;'00110;0;31;31
1;Greenoble_4num_5Q;ibm_brisbane;5;4;7;'00111;0;31;31
1;Greenoble_4num_5Q;ibm_brisbane;5;4;8;'01000;0;26;26
1;Greenoble_4num_5Q;ibm_brisbane;5;4;9;'01001;0;22;22
1;Greenoble_4num_5Q;ibm_brisbane;5;4;10;'01010;0;34;34
1;Greenoble_4num_5Q;ibm_brisbane;5;4;11;'01011;0;37;37
1;Greenoble_4num_5Q;ibm_brisbane;5;4;12;'01100;0;44;44
1;Greenoble_4num_5Q;ibm_brisbane;5;4;13;'01101;0;23;23
1;Greenoble_4num_5Q;ibm_brisbane;5;4;14;'01110;256;41;215
1;Greenoble_4num_5Q;ibm_brisbane;5;4;15;'01111;256;23;233
1;Greenoble_4num_5Q;ibm_brisbane;5;4;16;'10000;0;33;33
1;Greenoble_4num_5Q;ibm_brisbane;5;4;17;'10001;0;20;20
1;Greenoble_4num_5Q;ibm_brisbane;5;4;18;'10010;0;29;29
1;Greenoble_4num_5Q;ibm_brisbane;5;4;19;'10011;0;28;28
1;Greenoble_4num_5Q;ibm_brisbane;5;4;20;'10100;0;37;37
1;Greenoble_4num_5Q;ibm_brisbane;5;4;21;'10101;0;24;24
1;Greenoble_4num_5Q;ibm_brisbane;5;4;22;'10110;0;44;44
1;Greenoble_4num_5Q;ibm_brisbane;5;4;23;'10111;0;27;27
1;Greenoble_4num_5Q;ibm_brisbane;5;4;24;'11000;0;30;30
1;Greenoble_4num_5Q;ibm_brisbane;5;4;25;'11001;0;26;26
1;Greenoble_4num_5Q;ibm_brisbane;5;4;26;'11010;0;35;35
1;Greenoble_4num_5Q;ibm_brisbane;5;4;27;'11011;0;25;25
1;Greenoble_4num_5Q;ibm_brisbane;5;4;28;'11100;0;51;51
1;Greenoble_4num_5Q;ibm_brisbane;5;4;29;'11101;0;26;26
1;Greenoble_4num_5Q;ibm_brisbane;5;4;30;'11110;0;37;37
1;Greenoble_4num_5Q;ibm_brisbane;5;4;31;'11111;256;44;212
2;Greenoble_4num_5Q;ibm_brisbane;5;4;0;'00000;256;28;228
2;Greenoble_4num_5Q;ibm_brisbane;5;4;1;'00001;0;28;28
2;Greenoble_4num_5Q;ibm_brisbane;5;4;2;'00010;0;32;32
2;Greenoble_4num_5Q;ibm_brisbane;5;4;3;'00011;0;33;33
2;Greenoble_4num_5Q;ibm_brisbane;5;4;4;'00100;0;41;41
2;Greenoble_4num_5Q;ibm_brisbane;5;4;5;'00101;0;37;37
2;Greenoble_4num_5Q;ibm_brisbane;5;4;6;'00110;0;31;31
2;Greenoble_4num_5Q;ibm_brisbane;5;4;7;'00111;0;37;37
2;Greenoble_4num_5Q;ibm_brisbane;5;4;8;'01000;0;31;31
2;Greenoble_4num_5Q;ibm_brisbane;5;4;9;'01001;0;28;28
2;Greenoble_4num_5Q;ibm_brisbane;5;4;10;'01010;0;41;41
2;Greenoble_4num_5Q;ibm_brisbane;5;4;11;'01011;0;41;41
2;Greenoble_4num_5Q;ibm_brisbane;5;4;12;'01100;0;46;46
2;Greenoble_4num_5Q;ibm_brisbane;5;4;13;'01101;0;44;44
2;Greenoble_4num_5Q;ibm_brisbane;5;4;14;'01110;256;49;207
2;Greenoble_4num_5Q;ibm_brisbane;5;4;15;'01111;256;18;238
2;Greenoble_4num_5Q;ibm_brisbane;5;4;16;'10000;0;29;29
2;Greenoble_4num_5Q;ibm_brisbane;5;4;17;'10001;0;31;31
2;Greenoble_4num_5Q;ibm_brisbane;5;4;18;'10010;0;29;29
2;Greenoble_4num_5Q;ibm_brisbane;5;4;19;'10011;0;24;24
2;Greenoble_4num_5Q;ibm_brisbane;5;4;20;'10100;0;27;27
2;Greenoble_4num_5Q;ibm_brisbane;5;4;21;'10101;0;37;37
2;Greenoble_4num_5Q;ibm_brisbane;5;4;22;'10110;0;20;20
2;Greenoble_4num_5Q;ibm_brisbane;5;4;23;'10111;0;17;17
2;Greenoble_4num_5Q;ibm_brisbane;5;4;24;'11000;0;31;31
2;Greenoble_4num_5Q;ibm_brisbane;5;4;25;'11001;0;26;26
2;Greenoble_4num_5Q;ibm_brisbane;5;4;26;'11010;0;29;29
2;Greenoble_4num_5Q;ibm_brisbane;5;4;27;'11011;0;37;37
2;Greenoble_4num_5Q;ibm_brisbane;5;4;28;'11100;0;31;31
2;Greenoble_4num_5Q;ibm_brisbane;5;4;29;'11101;0;28;28
2;Greenoble_4num_5Q;ibm_brisbane;5;4;30;'11110;0;40;40
2;Greenoble_4num_5Q;ibm_brisbane;5;4;31;'11111;256;23;233
3;Greenoble_4num_5Q;ibm_brisbane;5;4;0;'00000;256;28;228
3;Greenoble_4num_5Q;ibm_brisbane;5;4;1;'00001;0;24;24
3;Greenoble_4num_5Q;ibm_brisbane;5;4;2;'00010;0;39;39
3;Greenoble_4num_5Q;ibm_brisbane;5;4;3;'00011;0;19;19
3;Greenoble_4num_5Q;ibm_brisbane;5;4;4;'00100;0;41;41
3;Greenoble_4num_5Q;ibm_brisbane;5;4;5;'00101;0;23;23
3;Greenoble_4num_5Q;ibm_brisbane;5;4;6;'00110;0;38;38
3;Greenoble_4num_5Q;ibm_brisbane;5;4;7;'00111;0;25;25
3;Greenoble_4num_5Q;ibm_brisbane;5;4;8;'01000;0;32;32
3;Greenoble_4num_5Q;ibm_brisbane;5;4;9;'01001;0;39;39
3;Greenoble_4num_5Q;ibm_brisbane;5;4;10;'01010;0;35;35
3;Greenoble_4num_5Q;ibm_brisbane;5;4;11;'01011;0;22;22
3;Greenoble_4num_5Q;ibm_brisbane;5;4;12;'01100;0;37;37
3;Greenoble_4num_5Q;ibm_brisbane;5;4;13;'01101;0;35;35
3;Greenoble_4num_5Q;ibm_brisbane;5;4;14;'01110;256;33;223
3;Greenoble_4num_5Q;ibm_brisbane;5;4;15;'01111;256;40;216
3;Greenoble_4num_5Q;ibm_brisbane;5;4;16;'10000;0;37;37
3;Greenoble_4num_5Q;ibm_brisbane;5;4;17;'10001;0;25;25
3;Greenoble_4num_5Q;ibm_brisbane;5;4;18;'10010;0;26;26
3;Greenoble_4num_5Q;ibm_brisbane;5;4;19;'10011;0;25;25
3;Greenoble_4num_5Q;ibm_brisbane;5;4;20;'10100;0;40;40
3;Greenoble_4num_5Q;ibm_brisbane;5;4;21;'10101;0;32;32
3;Greenoble_4num_5Q;ibm_brisbane;5;4;22;'10110;0;42;42
3;Greenoble_4num_5Q;ibm_brisbane;5;4;23;'10111;0;20;20
3;Greenoble_4num_5Q;ibm_brisbane;5;4;24;'11000;0;37;37
3;Greenoble_4num_5Q;ibm_brisbane;5;4;25;'11001;0;33;33
3;Greenoble_4num_5Q;ibm_brisbane;5;4;26;'11010;0;30;30
3;Greenoble_4num_5Q;ibm_brisbane;5;4;27;'11011;0;17;17
3;Greenoble_4num_5Q;ibm_brisbane;5;4;28;'11100;0;47;47
3;Greenoble_4num_5Q;ibm_brisbane;5;4;29;'11101;0;26;26
3;Greenoble_4num_5Q;ibm_brisbane;5;4;30;'11110;0;46;46
3;Greenoble_4num_5Q;ibm_brisbane;5;4;31;'11111;256;31;225
4;Greenoble_4num_5Q;ibm_brisbane;5;4;0;'00000;256;28;228
4;Greenoble_4num_5Q;ibm_brisbane;5;4;1;'00001;0;30;30
4;Greenoble_4num_5Q;ibm_brisbane;5;4;2;'00010;0;31;31
4;Greenoble_4num_5Q;ibm_brisbane;5;4;3;'00011;0;43;43
4;Greenoble_4num_5Q;ibm_brisbane;5;4;4;'00100;0;25;25
4;Greenoble_4num_5Q;ibm_brisbane;5;4;5;'00101;0;27;27
4;Greenoble_4num_5Q;ibm_brisbane;5;4;6;'00110;0;31;31
4;Greenoble_4num_5Q;ibm_brisbane;5;4;7;'00111;0;26;26
4;Greenoble_4num_5Q;ibm_brisbane;5;4;8;'01000;0;34;34
4;Greenoble_4num_5Q;ibm_brisbane;5;4;9;'01001;0;31;31
4;Greenoble_4num_5Q;ibm_brisbane;5;4;10;'01010;0;31;31
4;Greenoble_4num_5Q;ibm_brisbane;5;4;11;'01011;0;53;53
4;Greenoble_4num_5Q;ibm_brisbane;5;4;12;'01100;0;34;34
4;Greenoble_4num_5Q;ibm_brisbane;5;4;13;'01101;0;39;39
4;Greenoble_4num_5Q;ibm_brisbane;5;4;14;'01110;256;26;230
4;Greenoble_4num_5Q;ibm_brisbane;5;4;15;'01111;256;36;220
4;Greenoble_4num_5Q;ibm_brisbane;5;4;16;'10000;0;38;38
4;Greenoble_4num_5Q;ibm_brisbane;5;4;17;'10001;0;13;13
4;Greenoble_4num_5Q;ibm_brisbane;5;4;18;'10010;0;31;31
4;Greenoble_4num_5Q;ibm_brisbane;5;4;19;'10011;0;31;31
4;Greenoble_4num_5Q;ibm_brisbane;5;4;20;'10100;0;34;34
4;Greenoble_4num_5Q;ibm_brisbane;5;4;21;'10101;0;26;26
4;Greenoble_4num_5Q;ibm_brisbane;5;4;22;'10110;0;31;31
4;Greenoble_4num_5Q;ibm_brisbane;5;4;23;'10111;0;37;37
4;Greenoble_4num_5Q;ibm_brisbane;5;4;24;'11000;0;29;29
4;Greenoble_4num_5Q;ibm_brisbane;5;4;25;'11001;0;35;35
4;Greenoble_4num_5Q;ibm_brisbane;5;4;26;'11010;0;38;38
4;Greenoble_4num_5Q;ibm_brisbane;5;4;27;'11011;0;30;30
4;Greenoble_4num_5Q;ibm_brisbane;5;4;28;'11100;0;29;29
