Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Grover_4num_5Q;ibm_brisbane;5;4;0;'00000;1047;126;921
1;Grover_4num_5Q;ibm_brisbane;5;4;1;'00001;0;151;151
1;Grover_4num_5Q;ibm_brisbane;5;4;2;'00010;0;134;134
1;Grover_4num_5Q;ibm_brisbane;5;4;3;'00011;0;130;130
1;Grover_4num_5Q;ibm_brisbane;5;4;4;'00100;0;138;138
1;Grover_4num_5Q;ibm_brisbane;5;4;5;'00101;0;150;150
1;Grover_4num_5Q;ibm_brisbane;5;4;6;'00110;0;135;135
1;Grover_4num_5Q;ibm_brisbane;5;4;7;'00111;0;133;133
1;Grover_4num_5Q;ibm_brisbane;5;4;8;'01000;0;121;121
1;Grover_4num_5Q;ibm_brisbane;5;4;9;'01001;0;128;128
1;Grover_4num_5Q;ibm_brisbane;5;4;10;'01010;0;99;99
1;Grover_4num_5Q;ibm_brisbane;5;4;11;'01011;0;136;136
1;Grover_4num_5Q;ibm_brisbane;5;4;12;'01100;0;88;88
1;Grover_4num_5Q;ibm_brisbane;5;4;13;'01101;0;119;119
1;Grover_4num_5Q;ibm_brisbane;5;4;14;'01110;1047;144;903
1;Grover_4num_5Q;ibm_brisbane;5;4;15;'01111;1047;139;908
1;Grover_4num_5Q;ibm_brisbane;5;4;16;'10000;0;123;123
1;Grover_4num_5Q;ibm_brisbane;5;4;17;'10001;0;127;127
1;Grover_4num_5Q;ibm_brisbane;5;4;18;'10010;0;125;125
1;Grover_4num_5Q;ibm_brisbane;5;4;19;'10011;0;149;149
1;Grover_4num_5Q;ibm_brisbane;5;4;20;'10100;0;139;139
1;Grover_4num_5Q;ibm_brisbane;5;4;21;'10101;0;136;136
1;Grover_4num_5Q;ibm_brisbane;5;4;22;'10110;0;125;125
1;Grover_4num_5Q;ibm_brisbane;5;4;23;'10111;0;157;157
1;Grover_4num_5Q;ibm_brisbane;5;4;24;'11000;0;144;144
1;Grover_4num_5Q;ibm_brisbane;5;4;25;'11001;0;121;121
