Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Greenoble_2num_5Q;ibm_brisbane;5;2;0;'00000;512;121;391
1;Greenoble_2num_5Q;ibm_brisbane;5;2;1;'00001;0;29;29
1;Greenoble_2num_5Q;ibm_brisbane;5;2;2;'00010;0;23;23
1;Greenoble_2num_5Q;ibm_brisbane;5;2;3;'00011;0;4;4
1;Greenoble_2num_5Q;ibm_brisbane;5;2;4;'00100;0;61;61
1;Greenoble_2num_5Q;ibm_brisbane;5;2;5;'00101;0;17;17
1;Greenoble_2num_5Q;ibm_brisbane;5;2;6;'00110;0;14;14
1;Greenoble_2num_5Q;ibm_brisbane;5;2;7;'00111;0;1;1
1;Greenoble_2num_5Q;ibm_brisbane;5;2;8;'01000;0;70;70
1;Greenoble_2num_5Q;ibm_brisbane;5;2;9;'01001;0;19;19
1;Greenoble_2num_5Q;ibm_brisbane;5;2;10;'01010;0;15;15
1;Greenoble_2num_5Q;ibm_brisbane;5;2;11;'01011;0;2;2
1;Greenoble_2num_5Q;ibm_brisbane;5;2;12;'01100;0;75;75
1;Greenoble_2num_5Q;ibm_brisbane;5;2;13;'01101;0;24;24
1;Greenoble_2num_5Q;ibm_brisbane;5;2;14;'01110;0;14;14
1;Greenoble_2num_5Q;ibm_brisbane;5;2;15;'01111;0;1;1
1;Greenoble_2num_5Q;ibm_brisbane;5;2;16;'10000;0;13;13
1;Greenoble_2num_5Q;ibm_brisbane;5;2;17;'10001;0;21;21
1;Greenoble_2num_5Q;ibm_brisbane;5;2;18;'10010;0;25;25
1;Greenoble_2num_5Q;ibm_brisbane;5;2;19;'10011;0;21;21
1;Greenoble_2num_5Q;ibm_brisbane;5;2;20;'10100;0;9;9
1;Greenoble_2num_5Q;ibm_brisbane;5;2;21;'10101;0;8;8
1;Greenoble_2num_5Q;ibm_brisbane;5;2;22;'10110;0;18;18
1;Greenoble_2num_5Q;ibm_brisbane;5;2;23;'10111;0;14;14
1;Greenoble_2num_5Q;ibm_brisbane;5;2;24;'11000;0;62;62
1;Greenoble_2num_5Q;ibm_brisbane;5;2;25;'11001;0;62;62
1;Greenoble_2num_5Q;ibm_brisbane;5;2;26;'11010;0;62;62
1;Greenoble_2num_5Q;ibm_brisbane;5;2;27;'11011;0;71;71
1;Greenoble_2num_5Q;ibm_brisbane;5;2;28;'11100;0;29;29
