Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Greenoble_2num_5Q;ibm_brisbane;5;2;0;'00000;1272;317;956
1;Greenoble_2num_5Q;ibm_brisbane;5;2;1;'00001;0;34;34
1;Greenoble_2num_5Q;ibm_brisbane;5;2;2;'00010;0;66;66
1;Greenoble_2num_5Q;ibm_brisbane;5;2;3;'00011;0;12;12
1;Greenoble_2num_5Q;ibm_brisbane;5;2;4;'00100;0;166;166
1;Greenoble_2num_5Q;ibm_brisbane;5;2;5;'00101;0;20;20
1;Greenoble_2num_5Q;ibm_brisbane;5;2;6;'00110;0;40;40
1;Greenoble_2num_5Q;ibm_brisbane;5;2;7;'00111;0;6;6
1;Greenoble_2num_5Q;ibm_brisbane;5;2;8;'01000;0;158;158
1;Greenoble_2num_5Q;ibm_brisbane;5;2;9;'01001;0;33;33
1;Greenoble_2num_5Q;ibm_brisbane;5;2;10;'01010;0;42;42
1;Greenoble_2num_5Q;ibm_brisbane;5;2;11;'01011;0;8;8
1;Greenoble_2num_5Q;ibm_brisbane;5;2;12;'01100;0;198;198
1;Greenoble_2num_5Q;ibm_brisbane;5;2;13;'01101;0;28;28
1;Greenoble_2num_5Q;ibm_brisbane;5;2;14;'01110;0;71;71
1;Greenoble_2num_5Q;ibm_brisbane;5;2;15;'01111;0;8;8
1;Greenoble_2num_5Q;ibm_brisbane;5;2;16;'10000;0;17;17
1;Greenoble_2num_5Q;ibm_brisbane;5;2;17;'10001;0;63;63
1;Greenoble_2num_5Q;ibm_brisbane;5;2;18;'10010;0;18;18
1;Greenoble_2num_5Q;ibm_brisbane;5;2;19;'10011;0;70;70
1;Greenoble_2num_5Q;ibm_brisbane;5;2;20;'10100;0;17;17
1;Greenoble_2num_5Q;ibm_brisbane;5;2;21;'10101;0;46;46
1;Greenoble_2num_5Q;ibm_brisbane;5;2;22;'10110;0;14;14
1;Greenoble_2num_5Q;ibm_brisbane;5;2;23;'10111;0;39;39
1;Greenoble_2num_5Q;ibm_brisbane;5;2;24;'11000;0;112;112
1;Greenoble_2num_5Q;ibm_brisbane;5;2;25;'11001;0;215;215
1;Greenoble_2num_5Q;ibm_brisbane;5;2;26;'11010;0;92;92
1;Greenoble_2num_5Q;ibm_brisbane;5;2;27;'11011;0;264;264
1;Greenoble_2num_5Q;ibm_brisbane;5;2;28;'11100;0;43;43
1;Greenoble_2num_5Q;ibm_brisbane;5;2;29;'11101;0;127;127
1;Greenoble_2num_5Q;ibm_brisbane;5;2;30;'11110;0;49;49
1;Greenoble_2num_5Q;ibm_brisbane;5;2;31;'11111;1272;152;1120
2;Greenoble_2num_5Q;ibm_brisbane;5;2;0;'00000;1272;275;998
2;Greenoble_2num_5Q;ibm_brisbane;5;2;1;'00001;0;98;98
2;Greenoble_2num_5Q;ibm_brisbane;5;2;2;'00010;0;57;57
2;Greenoble_2num_5Q;ibm_brisbane;5;2;3;'00011;0;17;17
2;Greenoble_2num_5Q;ibm_brisbane;5;2;4;'00100;0;143;143
2;Greenoble_2num_5Q;ibm_brisbane;5;2;5;'00101;0;46;46
2;Greenoble_2num_5Q;ibm_brisbane;5;2;6;'00110;0;32;32
2;Greenoble_2num_5Q;ibm_brisbane;5;2;7;'00111;0;8;8
2;Greenoble_2num_5Q;ibm_brisbane;5;2;8;'01000;0;102;102
2;Greenoble_2num_5Q;ibm_brisbane;5;2;9;'01001;0;52;52
2;Greenoble_2num_5Q;ibm_brisbane;5;2;10;'01010;0;36;36
2;Greenoble_2num_5Q;ibm_brisbane;5;2;11;'01011;0;14;14
2;Greenoble_2num_5Q;ibm_brisbane;5;2;12;'01100;0;189;189
2;Greenoble_2num_5Q;ibm_brisbane;5;2;13;'01101;0;71;71
2;Greenoble_2num_5Q;ibm_brisbane;5;2;14;'01110;0;42;42
2;Greenoble_2num_5Q;ibm_brisbane;5;2;15;'01111;0;18;18
2;Greenoble_2num_5Q;ibm_brisbane;5;2;16;'10000;0;38;38
2;Greenoble_2num_5Q;ibm_brisbane;5;2;17;'10001;0;37;37
2;Greenoble_2num_5Q;ibm_brisbane;5;2;18;'10010;0;48;48
2;Greenoble_2num_5Q;ibm_brisbane;5;2;19;'10011;0;63;63
2;Greenoble_2num_5Q;ibm_brisbane;5;2;20;'10100;0;22;22
2;Greenoble_2num_5Q;ibm_brisbane;5;2;21;'10101;0;36;36
2;Greenoble_2num_5Q;ibm_brisbane;5;2;22;'10110;0;33;33
2;Greenoble_2num_5Q;ibm_brisbane;5;2;23;'10111;0;33;33
2;Greenoble_2num_5Q;ibm_brisbane;5;2;24;'11000;0;175;175
2;Greenoble_2num_5Q;ibm_brisbane;5;2;25;'11001;0;131;131
2;Greenoble_2num_5Q;ibm_brisbane;5;2;26;'11010;0;188;188
2;Greenoble_2num_5Q;ibm_brisbane;5;2;27;'11011;0;186;186
2;Greenoble_2num_5Q;ibm_brisbane;5;2;28;'11100;0;84;84
2;Greenoble_2num_5Q;ibm_brisbane;5;2;29;'11101;0;71;71
2;Greenoble_2num_5Q;ibm_brisbane;5;2;30;'11110;0;109;109
2;Greenoble_2num_5Q;ibm_brisbane;5;2;31;'11111;1272;91;1182
3;Greenoble_2num_5Q;ibm_brisbane;5;2;0;'00000;1272;276;996
3;Greenoble_2num_5Q;ibm_brisbane;5;2;1;'00001;0;185;185
3;Greenoble_2num_5Q;ibm_brisbane;5;2;2;'00010;0;74;74
3;Greenoble_2num_5Q;ibm_brisbane;5;2;3;'00011;0;114;114
3;Greenoble_2num_5Q;ibm_brisbane;5;2;4;'00100;0;36;36
3;Greenoble_2num_5Q;ibm_brisbane;5;2;5;'00101;0;30;30
3;Greenoble_2num_5Q;ibm_brisbane;5;2;6;'00110;0;27;27
3;Greenoble_2num_5Q;ibm_brisbane;5;2;7;'00111;0;34;34
3;Greenoble_2num_5Q;ibm_brisbane;5;2;8;'01000;0;164;164
3;Greenoble_2num_5Q;ibm_brisbane;5;2;9;'01001;0;109;109
3;Greenoble_2num_5Q;ibm_brisbane;5;2;10;'01010;0;57;57
3;Greenoble_2num_5Q;ibm_brisbane;5;2;11;'01011;0;86;86
3;Greenoble_2num_5Q;ibm_brisbane;5;2;12;'01100;0;19;19
3;Greenoble_2num_5Q;ibm_brisbane;5;2;13;'01101;0;20;20
3;Greenoble_2num_5Q;ibm_brisbane;5;2;14;'01110;0;16;16
3;Greenoble_2num_5Q;ibm_brisbane;5;2;15;'01111;0;12;12
3;Greenoble_2num_5Q;ibm_brisbane;5;2;16;'10000;0;17;17
3;Greenoble_2num_5Q;ibm_brisbane;5;2;17;'10001;0;16;16
3;Greenoble_2num_5Q;ibm_brisbane;5;2;18;'10010;0;59;59
3;Greenoble_2num_5Q;ibm_brisbane;5;2;19;'10011;0;27;27
3;Greenoble_2num_5Q;ibm_brisbane;5;2;20;'10100;0;30;30
3;Greenoble_2num_5Q;ibm_brisbane;5;2;21;'10101;0;24;24
3;Greenoble_2num_5Q;ibm_brisbane;5;2;22;'10110;0;461;461
3;Greenoble_2num_5Q;ibm_brisbane;5;2;23;'10111;0;182;182
3;Greenoble_2num_5Q;ibm_brisbane;5;2;24;'11000;0;6;6
3;Greenoble_2num_5Q;ibm_brisbane;5;2;25;'11001;0;8;8
3;Greenoble_2num_5Q;ibm_brisbane;5;2;26;'11010;0;36;36
3;Greenoble_2num_5Q;ibm_brisbane;5;2;27;'11011;0;23;23
3;Greenoble_2num_5Q;ibm_brisbane;5;2;28;'11100;0;14;14
3;Greenoble_2num_5Q;ibm_brisbane;5;2;29;'11101;0;13;13
3;Greenoble_2num_5Q;ibm_brisbane;5;2;30;'11110;0;263;263
3;Greenoble_2num_5Q;ibm_brisbane;5;2;31;'11111;1272;107;1166
4;Greenoble_2num_5Q;ibm_brisbane;5;2;0;'00000;1272;272;1000
4;Greenoble_2num_5Q;ibm_brisbane;5;2;1;'00001;0;65;65
4;Greenoble_2num_5Q;ibm_brisbane;5;2;2;'00010;0;73;73
4;Greenoble_2num_5Q;ibm_brisbane;5;2;3;'00011;0;21;21
4;Greenoble_2num_5Q;ibm_brisbane;5;2;4;'00100;0;164;164
4;Greenoble_2num_5Q;ibm_brisbane;5;2;5;'00101;0;34;34
4;Greenoble_2num_5Q;ibm_brisbane;5;2;6;'00110;0;38;38
4;Greenoble_2num_5Q;ibm_brisbane;5;2;7;'00111;0;10;10
4;Greenoble_2num_5Q;ibm_brisbane;5;2;8;'01000;0;131;131
4;Greenoble_2num_5Q;ibm_brisbane;5;2;9;'01001;0;30;30
4;Greenoble_2num_5Q;ibm_brisbane;5;2;10;'01010;0;32;32
4;Greenoble_2num_5Q;ibm_brisbane;5;2;11;'01011;0;7;7
4;Greenoble_2num_5Q;ibm_brisbane;5;2;12;'01100;0;223;223
4;Greenoble_2num_5Q;ibm_brisbane;5;2;13;'01101;0;60;60
4;Greenoble_2num_5Q;ibm_brisbane;5;2;14;'01110;0;48;48
4;Greenoble_2num_5Q;ibm_brisbane;5;2;15;'01111;0;4;4
4;Greenoble_2num_5Q;ibm_brisbane;5;2;16;'10000;0;41;41
4;Greenoble_2num_5Q;ibm_brisbane;5;2;17;'10001;0;55;55
4;Greenoble_2num_5Q;ibm_brisbane;5;2;18;'10010;0;59;59
